school,spell_name,type,circle,mana,description,class_name
Bardic,Balladof Health,heal,4,16,Ballad of Health - Ballad of Health Circle: 4 (16 mana),BardicBalladofHealthSpell
Bardic,Cacophony,utility,4,16,Cacophony - Cacophony Circle: 4 (16 mana),BardicCacophonySpell
Bardic,Crescendo,utility,6,24,Crescendo - Crescendo Circle: 6 (24 mana),BardicCrescendoSpell
Bardic,Destructive Resonance,utility,6,24,Destructive Resonance - Destructive Resonance Circle: 6 (24 mana),BardicDestructiveResonanceSpell
Bardic,Dirgeof Weakness,utility,2,8,Dirge of Weakness - Dirge of Weakness Circle: 2 (8 mana),BardicDirgeofWeaknessSpell
Bardic,Discordant Note,utility,1,4,Discordant Note - Discordant Note Circle: 1 (4 mana),BardicDiscordantNoteSpell
Bardic,Epic Ballad,utility,6,24,Epic Ballad - Epic Ballad Circle: 6 (24 mana),BardicEpicBalladSpell
Bardic,Eternal Symphony,utility,8,32,Eternal Symphony - Eternal Symphony Circle: 8 (32 mana),BardicEternalSymphonySpell
Bardic,Inspire Accuracy,utility,1,4,Inspire Accuracy - Inspire Accuracy Circle: 1 (4 mana),BardicInspireAccuracySpell
Bardic,Inspire Heroism,utility,4,16,Inspire Heroism - Inspire Heroism Circle: 4 (16 mana),BardicInspireHeroismSpell
Bardic,Legendary Performance,shapeshift,7,28,Legendary Performance - Legendary Performance Circle: 7 (28 mana),BardicLegendaryPerformanceSpell
Bardic,Lullaby,utility,1,4,Lullaby - Lullaby Circle: 1 (4 mana),BardicLullabySpell
Bardic,Maestro Ascendant,utility,8,32,Maestro Ascendant - Maestro Ascendant Circle: 8 (32 mana),BardicMaestroAscendantSpell
Bardic,Mass Inspire,utility,5,20,Mass Inspire - Mass Inspire Circle: 5 (20 mana),BardicMassInspireSpell
Bardic,Mesmerize,utility,3,12,Mesmerize - Mesmerize Circle: 3 (12 mana),BardicMesmerizeSpell
Bardic,Odeto Devastation,utility,8,32,Ode to Devastation - Ode to Devastation Circle: 8 (32 mana),BardicOdetoDevastationSpell
Bardic,Rejuvenating Melody,utility,2,8,Rejuvenating Melody - Rejuvenating Melody Circle: 2 (8 mana),BardicRejuvenatingMelodySpell
Bardic,Requiem,utility,5,20,Requiem - Requiem Circle: 5 (20 mana),BardicRequiemSpell
Bardic,Shattering Scream,utility,5,20,Shattering Scream - Shattering Scream Circle: 5 (20 mana),BardicShatteringScreamSpell
Bardic,Songof Courage,utility,1,4,Song of Courage - Song of Courage Circle: 1 (4 mana),BardicSongofCourageSpell
Bardic,Songof Fear,utility,6,24,Song of Fear - Song of Fear Circle: 6 (24 mana),BardicSongofFearSpell
Bardic,Songof Resilience,utility,2,8,Song of Resilience - Song of Resilience Circle: 2 (8 mana),BardicSongofResilienceSpell
Bardic,Songof Sanctuary,utility,5,20,Song of Sanctuary - Song of Sanctuary Circle: 5 (20 mana),BardicSongofSanctuarySpell
Bardic,Songof Swiftness,utility,3,12,Song of Swiftness - Song of Swiftness Circle: 3 (12 mana),BardicSongofSwiftnessSpell
Bardic,Songofthe Ancients,utility,7,28,Song of the Ancients - Song of the Ancients Circle: 7 (28 mana),BardicSongoftheAncientsSpell
Bardic,Sonic Apocalypse,utility,7,28,Sonic Apocalypse - Sonic Apocalypse Circle: 7 (28 mana),BardicSonicApocalypseSpell
Bardic,Sonic Burst,utility,2,8,Sonic Burst - Sonic Burst Circle: 2 (8 mana),BardicSonicBurstSpell
Bardic,Sonic Wave,utility,4,16,Sonic Wave - Sonic Wave Circle: 4 (16 mana),BardicSonicWaveSpell
Bardic,Symphonyof Destruction,utility,7,28,Symphony of Destruction - Symphony of Destruction Circle: 7 (28 mana),BardicSymphonyofDestructionSpell
Bardic,Thunderous Chord,utility,3,12,Thunderous Chord - Thunderous Chord Circle: 3 (12 mana),BardicThunderousChordSpell
Bardic,Voiceofthe Dragon,utility,8,32,Voice of the Dragon - Voice of the Dragon Circle: 8 (32 mana),BardicVoiceoftheDragonSpell
Bardic,War Song,utility,3,12,War Song - War Song Circle: 3 (12 mana),BardicWarSongSpell
Dark Magic,Apocalyptic Chaos,utility,7,28,Apocalyptic Chaos - Apocalyptic Chaos Circle: 7 (28 mana),DarkApocalypticChaosSpell
Dark Magic,Chaos Bolt,utility,2,8,Chaos Bolt - Chaos Bolt Circle: 2 (8 mana),DarkChaosBoltSpell
Dark Magic,Chaos Incarnate,utility,8,32,Chaos Incarnate - Chaos Incarnate Circle: 8 (32 mana),DarkChaosIncarnateSpell
Dark Magic,Chaos Rift,utility,4,16,Chaos Rift - Chaos Rift Circle: 4 (16 mana),DarkChaosRiftSpell
Dark Magic,Chaos Storm,utility,6,24,Chaos Storm - Chaos Storm Circle: 6 (24 mana),DarkChaosStormSpell
Dark Magic,Corruption,utility,3,12,Corruption - Corruption Circle: 3 (12 mana),DarkCorruptionSpell
Dark Magic,Dark Apotheosis,utility,8,32,Dark Apotheosis - Dark Apotheosis Circle: 8 (32 mana),DarkDarkApotheosisSpell
Dark Magic,Dark Portal,utility,6,24,Dark Portal - Dark Portal Circle: 6 (24 mana),DarkDarkPortalSpell
Dark Magic,Demonic Ascension,utility,7,28,Demonic Ascension - Demonic Ascension Circle: 7 (28 mana),DarkDemonicAscensionSpell
Dark Magic,Demonic Pact,utility,3,12,Demonic Pact - Demonic Pact Circle: 3 (12 mana),DarkDemonicPactSpell
Dark Magic,Demonic Sacrifice,utility,5,20,Demonic Sacrifice - Demonic Sacrifice Circle: 5 (20 mana),DarkDemonicSacrificeSpell
Dark Magic,Demonic Sight,utility,1,4,Demonic Sight - Demonic Sight Circle: 1 (4 mana),DarkDemonicSightSpell
Dark Magic,Drain Soul,utility,2,8,Drain Soul - Drain Soul Circle: 2 (8 mana),DarkDrainSoulSpell
Dark Magic,Fear Wave,utility,3,12,Fear Wave - Fear Wave Circle: 3 (12 mana),DarkFearWaveSpell
Dark Magic,Fel Armor,buff,5,20,Fel Armor - Fel Armor Circle: 5 (20 mana),DarkFelArmorSpell
Dark Magic,Lesser Demon,utility,2,8,Lesser Demon - Lesser Demon Circle: 2 (8 mana),DarkLesserDemonSpell
Dark Magic,Life Tap,utility,1,4,Life Tap - Life Tap Circle: 1 (4 mana),DarkLifeTapSpell
